Species,Colony,Percent dead,Survival-based ranking,Survival-based heat tolerance,Percent MIG change,MIG-based ranking,MIG-based heat tolerance,Combined survival and MIG,Survival+MIG-based ranking,Survival+MIG-based heat tolerance,Kmeans cluster,Kmeans-based heat tolerance
A. digitifera,D02,0,1,High,-41.234451623742764,1,High,0,1,High,2,High
A. digitifera,D04,0,2,High,-22.294272047413777,26,Intermediate,0.2682843503366258,26,Intermediate,2,High
A. digitifera,D06,0,3,High,-35.49980252499203,8,High,0.08123030732980281,8,High,2,High
A. digitifera,D08,0,4,High,-37.8387046822042,7,High,0.048100164966589684,7,High,2,High
A. digitifera,D09,0,5,High,-24.402907792045198,23,Intermediate,0.23841589166836455,22,Intermediate,2,High
A. digitifera,D13,0,6,High,-38.04478619631702,5,High,0.04518105615311024,5,High,2,High
A. digitifera,D14,0,7,High,-33.543334620604895,11,Intermediate,0.10894333500029844,11,Intermediate,2,High
A. digitifera,D15,0,8,High,-39.124850327802356,3,High,0.029882135534660747,3,High,2,High
A. digitifera,D16,0,9,High,-29.955430082422986,18,Intermediate,0.1597653789105354,16,Intermediate,2,High
A. digitifera,D18,0,10,High,-13.335734831780323,30,Intermediate,0.39518047226497677,29,Intermediate,2,High
A. digitifera,D20,0,11,High,-35.20440695812124,9,Intermediate,0.08541453417046557,9,Intermediate,2,High
A. digitifera,D21,0,12,High,-15.877486921736224,29,Intermediate,0.3591769958764625,28,Intermediate,2,High
A. digitifera,D24,0,13,High,-33.59256477121302,10,Intermediate,0.1082459984771864,10,Intermediate,2,High
A. digitifera,D25,0,14,High,-26.345941462694253,22,Intermediate,0.21089315758279326,20,Intermediate,2,High
A. digitifera,D26,0,15,High,-29.479803858087955,19,Intermediate,0.1665025416752571,17,Intermediate,2,High
A. digitifera,D28,0,16,High,-31.996840401352507,16,Intermediate,0.13084915670802963,15,Intermediate,2,High
A. digitifera,D29,0,17,High,-39.62029857582347,2,High,0.022864197251124863,2,High,2,High
A. digitifera,D30,0,18,High,-27.92493935047164,20,Intermediate,0.18852692706221827,18,Intermediate,2,High
A. digitifera,D31,0,19,High,-27.11885557915762,21,Intermediate,0.19994496351917748,19,Intermediate,2,High
A. digitifera,D32,0,20,High,-33.181923541808594,13,Intermediate,0.11406266008845677,12,Intermediate,2,High
A. digitifera,D33,0,21,High,-33.00448351157403,14,Intermediate,0.11657606726304798,13,Intermediate,2,High
A. digitifera,D34,0,22,High,-21.0001636649167,27,Intermediate,0.28661517055214897,27,Intermediate,2,High
A. digitifera,D35,0,23,High,-38.020170328385134,6,High,0.04552973564210155,6,High,2,High
A. digitifera,D36,0,24,High,-32.96835253964499,15,Intermediate,0.11708785619788616,14,Intermediate,2,High
A. digitifera,D37,0,25,High,-24.003912283297527,24,Intermediate,0.24406759367151673,23,Intermediate,2,High
A. digitifera,D39,0,26,High,-23.511047854839653,25,Intermediate,0.2510489326002198,24,Intermediate,2,High
A. digitifera,D40,0,27,High,-38.62713472642515,4,High,0.0369321904842331,4,High,2,High
A. digitifera,D03,12.5,28,High,-12.76257379535057,31,Intermediate,0.5282991986834422,30,Intermediate,2,High
A. digitifera,D17,12.5,29,High,-3.9946926266327036,33,Low,0.6524947108589467,32,Intermediate,2,High
A. digitifera,D22,12.5,30,High,-31.97686729903836,17,Intermediate,0.2561320722293404,25,Intermediate,2,High
A. digitifera,D38,12.5,31,High,-33.35274460096753,12,Intermediate,0.23664300948822983,21,Intermediate,2,High
A. digitifera,D01,25,32,High,16.691999296357764,38,Low,1.0705181048984405,37,Low,1,Low
A. digitifera,D11,25,33,High,-16.444315699934705,28,Intermediate,0.6011479647947753,31,Intermediate,2,High
A. digitifera,D12,25,34,High,2.7239598061878,36,Low,0.8726632543150803,33,Low,1,Low
A. digitifera,D05,37.5,35,High,-4.842886991520078,32,Intermediate,0.890480185166308,34,Low,1,Low
A. digitifera,D10,37.5,36,High,-0.09404583378595188,35,Low,0.9577466944261671,35,Low,1,Low
A. digitifera,D23,50,37,Low,6.692529814186162,37,Low,1.1788773584142782,38,Low,1,Low
A. digitifera,D27,50,38,Low,-0.9822317573285702,34,Low,1.0701656952590013,36,Low,1,Low
A. digitifera,D19,62.5,39,Low,17.5516895347324,39,Low,1.4576954676400975,39,Low,1,Low
A. digitifera,D07,100,40,Low,29.362955763471874,40,Low,2,40,Low,1,Low
A. millepora,M01,0,1,High,2.021087029826906,12,Intermediate,0.18388385210017102,8,Intermediate,1,Low
A. millepora,M03,0,2,High,-7.728062756308429,4,High,0.11345037519391393,4,High,1,Low
A. millepora,M04,0,3,High,-23.431457642390814,1,High,0,1,High,1,Low
A. millepora,M08,0,4,High,31.80965586127353,22,Intermediate,0.3990936417624406,20,Intermediate,1,Low
A. millepora,M09,0,5,High,-10.59673092654786,2,High,0.0927254629961736,2,High,1,Low
A. millepora,M14,0,6,High,18.474588038197346,21,Intermediate,0.3027534262396744,14,Intermediate,1,Low
A. millepora,M15,0,7,High,14.530128244202901,20,Intermediate,0.27425637532728925,13,Intermediate,1,Low
A. millepora,M16,0,8,High,-3.8482488557890924,7,Intermediate,0.14148038691364676,7,Intermediate,1,Low
A. millepora,M17,0,9,High,-5.243593078005386,6,High,0.13139961605591335,6,High,1,Low
A. millepora,M18,0,10,High,6.345985704665443,15,Intermediate,0.21512941275094194,10,Intermediate,1,Low
A. millepora,M19,0,11,High,7.36664250953616,16,Intermediate,0.22250322575741677,11,Intermediate,1,Low
A. millepora,M21,0,12,High,-9.821037383756588,3,High,0.09832952021460101,3,High,1,Low
A. millepora,M24,0,13,High,-5.46048805625585,5,High,0.12983264172719675,5,High,1,Low
A. millepora,M26,0,14,High,5.25569359197039,14,Intermediate,0.20725251414694348,9,Intermediate,1,Low
A. millepora,M29,0,15,High,7.385787224987857,17,Intermediate,0.22264153821575663,12,Intermediate,1,Low
A. millepora,M02,12.5,16,High,7.827350598424404,18,Intermediate,0.39249831318395145,19,Intermediate,1,Low
A. millepora,M07,12.5,17,High,1.3068374512609082,11,Intermediate,0.3453903681587533,18,Intermediate,1,Low
A. millepora,M13,12.5,18,High,1.234548915469274,10,Intermediate,0.3448681141132253,17,Intermediate,1,Low
A. millepora,M22,12.5,19,High,-1.197527277780225,9,Intermediate,0.3272973939838548,16,Intermediate,1,Low
A. millepora,M28,12.5,20,High,11.498390948858457,19,Intermediate,0.41902002445275865,21,Intermediate,1,Low
A. millepora,M30,12.5,21,High,-2.867328806011789,8,Intermediate,0.31523378536600505,15,Intermediate,1,Low
A. millepora,M25,25,22,High,4.576150709156275,13,Intermediate,0.5356764380452544,22,Intermediate,1,Low
A. millepora,M05,37.5,23,High,49.99047024310992,27,Low,1.0304423232362985,26,Low,2,High
A. millepora,M06,37.5,24,High,35.963746739316875,26,Low,0.9291051884453378,25,Low,2,High
A. millepora,M20,37.5,25,High,33.583829650390385,23,Intermediate,0.9119112957471154,23,Intermediate,2,High
A. millepora,M23,37.5,26,High,34.691540721821106,24,Intermediate,0.9199140389483098,24,Intermediate,2,High
A. millepora,M10,50,27,Low,34.96699730083957,25,Low,1.0885707626991916,27,Low,2,High
A. millepora,M12,50,28,Low,60.33834159358674,28,Low,1.2718679764588223,28,Low,2,High
A. millepora,M11,62.5,29,Low,105.10431273922624,29,Low,1.7619498192218308,29,Low,2,High
A. millepora,M27,75,30,Low,114.98496327505008,30,Low,2,30,Low,2,High
A. tenuis,T03,0,1,High,-9.082741230304565,8,Intermediate,0.1045481605839649,7,Intermediate,1,Low
A. tenuis,T05,0,2,High,-14.780712313480873,1,High,0,1,High,1,Low
A. tenuis,T13,0,3,High,-13.561948001939783,2,High,0.02236226984956439,2,High,1,Low
A. tenuis,T14,0,4,High,-8.850523444206797,9,Intermediate,0.10880896535762984,8,Intermediate,1,Low
A. tenuis,T18,0,5,High,-11.306199305129054,6,Intermediate,0.06375145444678998,5,High,1,Low
A. tenuis,T19,0,6,High,-4.2683514828209095,12,Intermediate,0.19288409368826795,10,Intermediate,1,Low
A. tenuis,T20,0,7,High,-3.2739313557550145,15,Intermediate,0.2111300260762676,11,Intermediate,1,Low
A. tenuis,T21,0,8,High,-12.192237980122814,4,High,0.04749413893489503,4,High,1,Low
A. tenuis,T22,0,9,High,4.6843263668539405,20,Intermediate,0.35715063485199583,14,Intermediate,1,Low
A. tenuis,T28,0,10,High,-9.187936020454577,7,Intermediate,0.10261801358029335,6,Intermediate,1,Low
A. tenuis,T29,0,11,High,-12.422749866929912,3,High,0.043264634536465,3,High,1,Low
A. tenuis,T30,0,12,High,-8.001417117932327,10,Intermediate,0.12438863455151383,9,Intermediate,1,Low
A. tenuis,T10,12.5,13,High,3.0727059736720914,19,Intermediate,0.45258011839847184,16,Intermediate,1,Low
A. tenuis,T17,12.5,14,High,-4.253735200678976,13,Intermediate,0.3181522778173569,12,Intermediate,1,Low
A. tenuis,T26,12.5,15,High,-3.8015584536224676,14,Intermediate,0.3264489585960957,13,Intermediate,1,Low
A. tenuis,T16,25,16,High,-1.706642340329939,16,Intermediate,0.48988713650631976,17,Intermediate,1,Low
A. tenuis,T02,37.5,17,High,0.7368242348781278,18,Intermediate,0.6597206276134735,19,Intermediate,1,Low
A. tenuis,T11,37.5,18,High,16.098695270166072,21,Low,0.9415850555691441,21,Low,1,Low
A. tenuis,T27,37.5,19,High,-11.413770043998795,5,High,0.43677771279080035,15,Intermediate,1,Low
A. tenuis,T06,50,20,Low,0.4527639276357842,17,Intermediate,0.779508600001612,20,Intermediate,1,Low
A. tenuis,T12,50,21,Low,-7.136201294397984,11,Intermediate,0.6402638858538127,18,Intermediate,1,Low
A. tenuis,T15,87.5,22,Low,30.483514967867922,22,Low,1.7055222391338543,22,Low,2,High
A. tenuis,T01,100,23,Low,35.12746535853572,23,Low,1.9157308974615574,23,Low,2,High
A. tenuis,T04,100,24,Low,39.720209092976035,25,Low,2,25,Low,2,High
A. tenuis,T23,100,25,Low,36.455887534634044,24,Low,1.9401052042038458,24,Low,2,High
